From;To;Resources;tc_min;tc_max;c_exch_network
CZ;SK;ELECTRICITY;0;15;15.33
CZ;AT;ELECTRICITY;0;15;15.33
AT;IT;ELECTRICITY;0;15;15.33
AT;CH;ELECTRICITY;0;15;15.33
AT;DE;ELECTRICITY;0;15;15.33
AT;CZ;ELECTRICITY;0;15;15.33
AT;SK;ELECTRICITY;0;15;15.33
AT;HU;ELECTRICITY;0;15;15.33
AT;SI;ELECTRICITY;0;15;15.33
SI;IT;ELECTRICITY;0;15;15.33
SI;AT;ELECTRICITY;0;15;15.33
SI;HU;ELECTRICITY;0;15;15.33
SI;HR;ELECTRICITY;0;15;15.33
SK;AT;ELECTRICITY;0;15;15.33
SK;CZ;ELECTRICITY;0;15;15.33
SK;PL;ELECTRICITY;0;15;15.33
SK;RO;ELECTRICITY;0;15;15.33
SK;HU;ELECTRICITY;0;15;15.33
HU;AT;ELECTRICITY;0;15;15.33
HU;SK;ELECTRICITY;0;15;15.33
HU;RO;ELECTRICITY;0;15;15.33
HU;HR;ELECTRICITY;0;15;15.33
HU;SI;ELECTRICITY;0;15;15.33
HR;IT;ELECTRICITY;0;15;15.33
HR;SI;ELECTRICITY;0;15;15.33
HR;HU;ELECTRICITY;0;15;15.33
HR;GR;ELECTRICITY;0;15;15.33
RO;SK;ELECTRICITY;0;15;15.33
RO;HU;ELECTRICITY;0;15;15.33
RO;BG;ELECTRICITY;0;15;15.33
BG;RO;ELECTRICITY;0;15;15.33
BG;GR;ELECTRICITY;0;15;15.33
GR;IT;ELECTRICITY;0;15;15.33
GR;HR;ELECTRICITY;0;15;15.33
GR;BG;ELECTRICITY;0;15;15.33
PT;ES;GAS;0;60;0.541
ES;PT;GAS;0;60;0.541
ES;FR;GAS;0;60;0.541
FR;ES;GAS;0;60;0.541
FR;GB;GAS;0;60;0.541
FR;BE;GAS;0;60;0.541
FR;LU;GAS;0;60;0.541
FR;DE;GAS;0;60;0.541
FR;CH;GAS;0;60;0.541
